2026-05-16T14:14:06Z [supervisor] start max_restarts=200 loop_args=['--batch-size', '120', '--inter-cycle-sleep', '120', '--resilient-async', '--no-prebatch-recheck']
2026-05-16T16:42:11Z [supervisor] launch restart#22 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:42:11Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:42:11Z [supervisor] restart in 90s (attempt 23)
2026-05-16T16:43:41Z [supervisor] launch restart#23 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:43:41Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:43:41Z [supervisor] restart in 90s (attempt 24)
2026-05-16T16:45:11Z [supervisor] launch restart#24 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:45:11Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:45:11Z [supervisor] restart in 90s (attempt 25)
2026-05-16T16:46:41Z [supervisor] launch restart#25 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:46:41Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:46:41Z [supervisor] restart in 90s (attempt 26)
2026-05-16T16:48:11Z [supervisor] launch restart#26 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:48:11Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:48:11Z [supervisor] restart in 90s (attempt 27)
2026-05-16T16:49:41Z [supervisor] launch restart#27 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:49:42Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:49:42Z [supervisor] restart in 90s (attempt 28)
2026-05-16T16:51:12Z [supervisor] launch restart#28 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:51:12Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:51:12Z [supervisor] restart in 90s (attempt 29)
2026-05-16T16:52:42Z [supervisor] launch restart#29 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:52:42Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:52:42Z [supervisor] restart in 90s (attempt 30)
2026-05-16T16:54:12Z [supervisor] launch restart#30 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:54:12Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:54:12Z [supervisor] restart in 90s (attempt 31)
2026-05-16T16:55:42Z [supervisor] launch restart#31 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:55:42Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:55:42Z [supervisor] restart in 90s (attempt 32)
2026-05-16T16:57:12Z [supervisor] launch restart#32 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:57:12Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:57:12Z [supervisor] restart in 90s (attempt 33)
